created_at,symbol,entry_price,current_price,pnl_pct,action,reason
2026-07-21T09:35:28,NHPC,81.05,80.55,-0.62,HOLD,Holding (0 days)
2026-07-22T04:35:28,NHPC,81.05,80.33,-0.89,HOLD,Holding (0 days)
2026-07-22T05:35:28,NHPC,81.05,80.16,-1.1,HOLD,Holding (0 days)
2026-07-22T06:35:28,NHPC,81.05,79.84,-1.49,HOLD,Holding (0 days)
2026-07-22T07:35:28,NHPC,81.05,79.82,-1.52,HOLD,Holding (0 days)
2026-07-22T08:35:28,NHPC,81.05,80.33,-0.89,HOLD,Holding (0 days)
2026-07-22T09:35:28,NHPC,81.05,80.3,-0.93,HOLD,Holding (1 days)
2026-07-23T04:35:28,NHPC,81.05,80.56,-0.6,HOLD,Holding (1 days)
2026-07-23T05:35:28,NHPC,81.05,81.03,-0.02,HOLD,Holding (1 days)
2026-07-23T06:35:28,NHPC,81.05,80.5,-0.68,HOLD,Holding (1 days)
2026-07-23T07:35:28,NHPC,81.05,80.26,-0.97,HOLD,Holding (1 days)
2026-07-23T08:35:28,NHPC,81.05,79.99,-1.31,HOLD,Holding (1 days)
2026-07-23T09:35:28,NHPC,81.05,80.09,-1.18,HOLD,Holding (2 days)
2026-07-24T04:35:28,NHPC,81.05,79.26,-2.21,HOLD,Holding (2 days)
2026-07-24T05:35:28,NHPC,81.05,79.16,-2.33,HOLD,Holding (2 days)
2026-07-24T06:35:28,NHPC,81.05,79.67,-1.7,HOLD,Holding (2 days)
2026-07-24T07:35:28,NHPC,81.05,79.63,-1.75,HOLD,Holding (2 days)
2026-07-24T08:35:28,NHPC,81.05,79.72,-1.64,HOLD,Holding (2 days)
2026-07-24T09:35:28,NHPC,81.05,79.43,-2.0,HOLD,Holding (3 days)
2026-07-27T04:35:28,NHPC,81.05,79.19,-2.29,HOLD,Holding (5 days)
2026-07-27T05:35:28,NHPC,81.05,79.23,-2.25,HOLD,Holding (5 days)
2026-07-27T06:35:28,NHPC,81.05,79.86,-1.47,HOLD,Holding (5 days)
2026-07-27T07:35:28,NHPC,81.05,79.47,-1.95,HOLD,Holding (5 days)
2026-07-27T08:35:28,NHPC,81.05,79.64,-1.74,HOLD,Holding (5 days)
2026-07-27T09:35:28,NHPC,81.05,79.87,-1.46,HOLD,Holding (6 days)
2026-07-28T04:35:28,NHPC,81.05,78.94,-2.6,SELL,Stop loss hit
2026-07-28T09:35:28,GAIL,175.81,175.31,-0.28,HOLD,Holding (0 days)
2026-07-29T04:35:28,GAIL,175.81,175.15,-0.38,HOLD,Holding (0 days)
2026-07-29T05:35:28,GAIL,175.81,175.12,-0.39,HOLD,Holding (0 days)
2026-07-29T06:35:28,GAIL,175.81,175.28,-0.3,HOLD,Holding (0 days)
2026-07-29T07:35:28,GAIL,175.81,175.14,-0.38,HOLD,Holding (0 days)
2026-07-29T08:35:28,GAIL,175.81,175.63,-0.1,HOLD,Holding (0 days)
2026-07-29T09:35:28,GAIL,175.81,175.32,-0.28,HOLD,Holding (1 days)
2026-07-30T04:35:28,GAIL,175.81,175.11,-0.4,HOLD,Holding (1 days)
2026-07-30T05:35:28,GAIL,175.81,175.17,-0.36,HOLD,Holding (1 days)
2026-07-30T06:35:28,GAIL,175.81,175.02,-0.45,HOLD,Holding (1 days)
2026-07-30T07:35:28,GAIL,175.81,174.49,-0.75,HOLD,Holding (1 days)
2026-07-30T08:35:28,GAIL,175.81,173.8,-1.14,HOLD,Holding (1 days)
2026-07-30T09:35:28,GAIL,175.81,173.56,-1.28,HOLD,Holding (2 days)
2026-07-31T04:35:28,GAIL,175.81,174.81,-0.57,HOLD,Holding (2 days)
2026-07-31T05:35:28,GAIL,175.81,176.54,0.42,HOLD,Holding (2 days)
2026-07-31T06:35:28,GAIL,175.81,176.62,0.46,HOLD,Holding (2 days)
2026-07-31T07:35:28,GAIL,175.81,177.18,0.78,HOLD,Holding (2 days)
2026-07-31T08:35:28,GAIL,175.81,177.04,0.7,HOLD,Holding (2 days)
2026-07-31T09:35:28,GAIL,175.81,181.62,3.3,HOLD,Holding (3 days)
2026-07-31T09:35:28,ZEEL,114.8,114.96,0.14,HOLD,Holding (0 days)
